20800,9600,2400
8000,12800,7200
32000,26400,12800
32000,26400,13600
32800,27200,12000
32000,26400,12800
32000,26400,12000
36000,27200,11200
26400,20000,12000
26400,18400,10400
16000,12000,10400
26400,18400,11200
19200,8800,5600
26400,14400,11200
16000,12000,9600
32800,20000,12000
19200,26400,4800
32800,26400,12000
29600,20000,11200
19200,12000,14400
16000,13600,11200
24000,21600,12800
32800,24800,11200
12000,12000,11200
26400,15200,10400
26400,19200,11200
27200,21600,11200
7200,16000,6400
6400,14400,4000
26400,15200,10400
29600,22400,12000
29600,22400,12000
13600,12000,11200
19200,8800,4800
12000,12000,10400
20000,12800,4800
20800,13600,12000
9600,13600,8000
20800,12800,12000
20800,13600,12000
17600,11200,12000
9600,12000,5600
31200,24000,11200
20000,12000,12000
16000,12800,12800
12000,12800,11200
9600,13600,7200
32000,18400,11200
13600,12000,12000
20800,12800,8800
26400,18400,11200
18400,8800,5600
17600,13600,11200
11200,13600,4800
14400,25600,2400
9600,31200,8800
7200,13600,6400
32000,16800,11200
20000,9600,5600
28000,18400,12000
19200,12800,12800
23200,18400,13600
19200,8800,12800
12000,12000,10400
13600,12800,12800
6400,28800,10400
19200,8800,4800
20800,11200,3200
20800,12800,8800
24800,16800,8000
8800,14400,8000
19200,14400,12000
20800,12000,12000
27200,20800,12000
27200,20000,13600
28000,23200,12800
30400,18400,12000
14400,11200,11200
17600,12000,12800
6400,6400,9600
20800,12000,8800
11200,16800,4800
17600,12000,13600
20000,9600,5600
28800,20800,15200
34400,27200,12800
11200,16800,4800
23200,12800,12000
13600,12000,11200
32000,18400,10400
19200,10400,4800
11200,14400,7200
9600,14400,8000
19200,9600,5600
19200,9600,5600
19200,9600,5600
25600,19200,12000
23200,21600,2400
8000,15200,12000
5600,6400,8800
21600,12000,8800
18400,31200,6400
9600,15200,11200
9600,13600,8800
9600,13600,8800
12800,13600,9600
13600,12800,12000
13600,12000,11200
12800,12000,11200
31200,20800,12800
5600,6400,10400
19200,8800,4800
7200,13600,8000
20800,12800,8800
26400,19200,14400
13600,11200,11200
26400,16000,14400
20800,13600,10400
13600,12800,12000
13600,12800,11200
25600,19200,14400
24800,17600,8800
4800,6400,8000
24800,17600,8800
15200,15200,14400
20800,12000,4000
26400,15200,11200
19200,9600,5600
28000,20800,13600
27200,20800,12000
26400,15200,11200
19200,11200,5600
12800,12800,12000
14400,11200,9600
17600,10400,10400
21600,15200,4000
17600,12000,13600
12800,11200,9600
19200,9600,5600
8800,11200,8800
17600,12000,11200
17600,12000,11200
16800,12000,11200
20800,12000,8800
12800,11200,9600
20800,12000,8000
26400,20800,12000
19200,13600,12800
17600,11200,12800
17600,11200,12800
26400,18400,12800
28800,16800,12800
28800,20800,12800
26400,20000,12800
13600,17600,6400
20800,12000,8800
20000,12000,8800
16800,27200,6400
20000,8800,5600
25600,23200,14400
8800,14400,6400
26400,19200,12000
30400,20000,12000
13600,11200,10400
7200,13600,8800
24000,15200,9600
25600,22400,13600
32800,20800,12000
20800,12000,4000
31200,17600,11200
6400,12000,10400
15200,28800,8000
20000,11200,7200
20800,12000,8800
20000,15200,4800
12000,12800,12800
30400,12800,14400
28800,16000,11200
13600,28000,4000
20000,11200,7200
33600,22400,12000
26400,20000,12000
14400,9600,11200
10400,12000,7200
8000,13600,8800
29600,21600,15200
30400,21600,15200
20800,11200,13600
11200,12800,5600
21600,12000,4000
16000,13600,11200
16800,12000,12800
15200,13600,11200
25600,22400,15200
28800,16800,12800
17600,11200,10400
25600,22400,15200
20000,12000,4000
25600,19200,12800
13600,17600,8000
25600,15200,10400
29600,20800,12800
20800,12800,6400
32000,13600,13600
9600,12000,7200
28000,13600,12800
12800,14400,12000
20800,10400,8800
15200,12800,10400
16000,19200,6400
8000,13600,6400
32800,19200,12000
20000,11200,4000
30400,21600,13600
32000,16000,10400
20000,11200,4800
32000,19200,13600
18400,13600,12000
20800,12000,8800
20800,12000,4000
14400,12000,8800
7200,12800,6400
20000,12000,4000
28800,23200,13600
27200,13600,11200
20000,12000,4000
26400,13600,10400
20000,11200,7200
8000,13600,9600
19200,10400,4800
12800,13600,10400
13600,13600,10400
27200,19200,9600
7200,12800,8000
20800,13600,12800
22400,19200,14400
20000,10400,4800
20000,10400,4800
32000,24800,12800
9600,13600,8000
18400,12800,9600
20800,13600,12800
24000,26400,16800
20800,12000,4000
8000,17600,4000
17600,12000,10400
20000,12000,4800
19200,10400,4800
11200,10400,12000
30400,20800,12000
17600,10400,5600
27200,14400,11200
20800,12800,8800
13600,11200,11200
31200,24800,12000
12000,12000,11200
15200,7200,14400
18400,11200,13600
17600,10400,5600
14400,11200,12000
20800,12000,8800
19200,10400,6400
24000,17600,8000
16800,12800,9600
25600,13600,10400
8000,13600,7200
19200,11200,5600
16000,12000,10400
25600,13600,11200
19200,12000,12000
19200,10400,4800
16000,12800,12000
20800,14400,12800
16000,12800,10400
15200,14400,13600
12800,12000,12000
7200,12800,6400
15200,14400,12800
32000,18400,11200
24800,13600,6400
12800,15200,15200
24800,14400,8800
19200,10400,4800
12800,11200,10400
12000,12000,12800
18400,10400,4800
15200,6400,12000
16800,17600,5600
26400,19200,8000
32800,28000,11200
28800,20800,12000
32800,20000,12800
20800,12800,11200
36800,16000,13600
21600,14400,12000
33600,22400,12000
20800,11200,4000
38400,29600,14400
31200,18400,10400
31200,18400,11200
20800,12800,11200
30400,38400,8800
32000,18400,10400
27200,20000,12000
31200,18400,11200
17600,4000,13600
25600,14400,10400
20800,12000,6400
31200,18400,11200
29600,17600,10400
17600,11200,10400
15200,14400,12800
18400,11200,12800
29600,21600,12000
12800,20000,4000
15200,13600,12800
34400,19200,12800
30400,12800,13600
32800,26400,12000
19200,8800,5600
15200,9600,12800
20800,12000,8800
16000,9600,12000
15200,13600,12800
36000,20800,12000
30400,21600,4800
31200,20000,11200
13600,12000,12800
32800,26400,12000
24000,15200,9600
32800,19200,11200
16000,13600,12000
26400,13600,10400
27200,16000,12000
28800,21600,12800
27200,17600,12000
16800,12000,13600
17600,9600,2400
17600,9600,2400
17600,9600,2400
18400,12800,11200
20000,12000,6400
32800,26400,12800
13600,11200,11200
30400,20800,11200
17600,11200,12800
19200,11200,4800
29600,22400,13600
32800,26400,12000
32800,26400,11200
32800,26400,11200
20800,33600,4800
32800,25600,12000
31200,27200,8000
32800,26400,12800
31200,18400,10400
32800,26400,12000
